sentence_id,transcription
1, ແມ່ຍິງ ໃນຄວາມຄິດຂອງຫລາຍຄົນຄົງຄິດວ່າ ເປັນເພດທີ່ອ່ອນແອບໍ່ສາມາດຊ່ວຍເຫລືອຕົນເອງ ອາໃສແຕ່ເພດຊາຍເພື່ອຄຸ້ມຄອງດູແລ
2, ແຕ່ຄວາມຄິດເຫລົ່ານີ້ຖ້າເອົາມາໃຊ້ກັບແມ່ຍິງລາວບັນດາເຜົ່າ ແມ່ນຜິດພາດທີ່ສຸດ ເພາະແມ່ຍິງລາວ ເຖີງວ່າເປັນຄົນອ່ອນຫວານນິ້ມນວນ
3, ມີຈິດໃຈໂອບເອື້ອອາລີ ແຕ່ເປັນຄົນທີ່ເຂັ້ມແຂງ ແລະ ອົດທົນຜ່ານຜ່າອຸປະສັກນາໆ ປະການ
4, ສະແດງອອກໃນສະໄໝຕໍ່ສູ້ກູ້ຊາດແມ່ຍິງລາວບັນດາເຜົ່າໃນທົ່ວປະເທດໄດ້ຄຽງບ່າຄຽງໄຫລ່ກັບເພດຊາຍ
5,ຕໍ່ສູ້ຕ້ານການຮຸກຮານຂອງພວກສັກດິນາພວກຈັກກະພັດລ່າເມືອງຂຶ້ນແບບເກົ່າ ແລະ ແບບໃໝ່ໃນສະໝໍຣະພູມຮົບຢ່າງດຸເດືອດ
6,ໜຽວແໜ້ນ ແລະ ພິລາດອາດຫານທີ່ສຸດ ເຮັດໃຫ້ເກີດມີເອື້ອຍນ້ອງກອງກໍາລັງໄຟເພດຍິງສາວຊຽງຂວາງທັງງາມ-ທັງເກັ່ງ
7,ເອື້ອຍນ້ອງຍິງຢູ່ແຂວງອື່ນໆທົ່ວປະເທດໄດ້ຮ່ວມສ້າງວິລະກໍາອັນຍິ່ງໃຫຍ່ ແລະ ເກີດມີວິລະຊົນ
8, ທີ່ໄດ້ປະກອບສ່ວນຢ່າງສົມກຽດເຂົ້າໃນການຂຽນໜ້າປະຫວັດສາດຂອງຊາດລາວ.
9,ໃນໄລຍະແຫ່ງການປົກປັກຮັກສາ ແລະ ສ້າງສາປະເທດຊາດໃນປັດຈຸບັນກໍເຊັ່ນດຽວກັນ
10,ພາຍໃຕ້ການນໍາພາ-ຊີ້ນໍາຂອງພັກ ແລະ ຄວາມເອົາໃຈໃສ່ຂອງລັດຖະບານໂດຍມີສູນກາງສະຫະພັນແມ່ຍິງລາວເປັນອົງການຈັດຕັ້ງມະຫາຊົນ
11,ເປັນຕົວແທນແຫ່ງສິດ ແລະ ຜົນປະໂຫຍດອັນຊອບທຳ ຂອງແມ່ຍິງລາວບັນດາເຜົ່າ
12,ໄດ້ປຸກລະດົມແມ່ຍິງລາວບັນດາເຜົ່າທຸກຄົນ ເດີນຕາມແນວທາງນະໂຍບາຍຂອງພັກເສີມຂະຫຍາຍມູນເຊື້ອອັນດີງາມຂອງແມ່ຍິງລາວ
13,ທີ່ເຄີຍມີມາ ແລະ ສ້າງທຸກເງື່ອນໄຂໃຫ້ແມ່ຍິງລາວໄດ້ມີຊີວິດການເປັນຢູ່ທີ່ດີຂຶ້ນທາງດ້ານວັດຖຸ ແລະ ຈິດໃຈ,
14,ຍົກສູງສິດສະເໝີພາບ ແລະ ບົດບາດຍິງ-ຊາຍທຽບເທົ່າກັນໃນທຸກດ້ານເຮັດໃຫ້ປັດຈຸບັນແມ່ຍິງລາວສາມາດເຂົ້າເຖິງການສຶກສາ
15,ສິ່ງສໍາຄັນເອື້ອຍນ້ອງແມ່ຍິງຈຳນວນບໍ່ໜ້ອຍໄດ້ກາຍເປັນນັກການເມືອງ, ນັກການທູດ, ແພດໝໍ, ອາຈານສອນ,ນັບມື້ຫລາຍຂຶ້ນ
16,ພ້ອມທັງໄດ້ຮັບຄວາມເຊື່ອຫມັ້ນຖືກມອບໝາຍໜ້າທີ່ໃນ ຂັ້ນນຳພາຄຸ້ມຄອງ ແລະ ຕັດສິນບັນຫາສຳຄັນທຸກລະດັບ
17,ນັບຕັ້ງແຕ່ຂັ້ນບ້ານຈົນຮອດການນຳຂັ້ນສູງຂອງພັກ, ສະພາແຫ່ງຊາດ ແລະ ລັດຖະບານດ້ວຍຈຳນວນທີ່ເພີ່ມຂຶ້ນທຸກປີ
18,ເຮັດໃຫ້ບົດບາດອິດທິພົນຊື່ສຽງຂອງແມ່ຍິງລາວນັບມື້ນັບສູງເດັ່ນຂຶ້ນໃນເວທີການເມືອງທັງພາຍໃນປະເທດພາກພື້ນ ແລະ ສາກົນ
19,ພັກ ແລະ ລັດຖະບານ ຍາມໃດກໍໃຫ້ຄວາມສໍາຄັນຕໍ່ບົດບາດຍິງ-ຊາຍ ກໍຄື ການໃຫ້ ແມ່ຍິງເຂົ້າໃນມີບາດບາດ
20,ໃນທຸກຂົງເຂດວຽກງານນັບມື້ເພີ່ມຂຶ້ນເພື່ອພ້ອມກັນສ້າງສາ ແລະ ພັດທະນາປະເທດຊາດໃຫ້ນັບຈະເລີນກ້າວໜ້າ
21,ນໍາເອົາປະເທດຊາດຫລຸດພົ້ນອອກຈາກປະເທດດ້ອຍພັດທະນາຕາມທີ່ໄດ້ວາງຄາດໝາຍເອົາໄວ້
22,ເພາະໃນຂະບວນການສ້າງສາ ແລະ ພັດທະນາດັ່ງກ່າວມັນຮຽກຮ້ອງຕ້ອງການຢ່າງຍິ່ງຕໍ່ຜູ້ທີ່ມີຄວາມຮູ້-ຄວາມສາມາດສູງ
23,ບໍ່ວ່າເປັນເພດຍິງ ຫຼື ຊາຍ ຈິ່ງເຮັດໃຫ້ແມ່ຍິງລາວຄືກຳລັງແຮງສັງລວມຂອງຊາດທີ່ຕັດແຍກອອກບໍ່ໄດ້ກັບກຳລັງແຮງ ທີ່ເປັນເພດຊາຍ
24,ຮຽກຮ້ອງມາຍັງບັນດາອົງການຂອງພັກ, ລັດ ແລະ ອົງການມະຫາຊົນຕ້ອງໄດ້ເພີ່ມທະ ວີຄວາມເອົາໃຈໃສ່ກໍ່ສ້າງພະນັກງານເພດຍິງ
25,ໃຫ້ມີສ່ວນຮ່ວມໃນການຕັດສິນບັນຫາຂອງຊາດໃຫ້ຫລາຍຂຶ້ນຂະນະດຽວກັນຕ້ອງຊຸກຍູ້ສົ່ງເສີມເພດຍິງໃນສັງຄົມທົ່ວໄປ
26,ບໍ່ວ່າເປັນນັກທຸລະກິດ, ຊາວຄ້າຂາຍ ຫຼື ປະຊາຊົນເຂົ້າໃນການພັດທະນາສ້າງສາປະເທດຊາດໃຫ້ທົ່ວເຖີງ
27,ເພີ່ມທະວີຄວາມເອົາໃຈໃສ່ສ້າງເງື່ອນໄຂໃຫ້ແມ່ຍິງລາວບັນດາເຜົ່າທີ່ກວມຈຳນວນ ຫລາຍກວ່າເຄິ່ງໜຶ່ງຂອງພົນລະເມືອງ
28,ທົ່ວປະເທດໄດ້ເສີມຂະຫຍາຍຄວາມຮູ້ຄວາມສາມາດ, ມີວິຊາຊີບ, ມີວຽກເຮັດງານທຳ ເຮັດໃຫ້ໃຫ້ເຂົາເຈົ້າສາມາດເຄື່ອນໄຫວ
29,ສ້າງລາຍຮັບອັນຫມັ້ນຄົງໃຫ້ຄອບຄົວ ແລະ ປະກອບສ່ວນ ເຂົ້າໃນການປົກປັກຮັກສາ ແລະ ສ້າງສາປະເທດຊາດນັບມື້ຈະເລີນກ້າວໜ້າ
30,ຮຽກຮ້ອງມາຍັງແມ່ຍິງລາວບັນດາເຜົ່າ ຈົ່ງສືບຕໍ່ພັດທະ ນາຕົນເອງຢ່າງຕໍ່ເນື່ອງທັງທາງດ້ານ ຄວາມຮູ້-ຄວາມສາມາດ
31,ຄຸນສົມບັດສິນທໍາປະຕິບັດເພື່ອເຮັດລ້ອນໜ້າທີ່ທີ່ພັກ ແລະ ລັດຖະບານມອບໝາຍໃຫ້ເພື່ອເຮັດໃຫ້ບົດບາດຄວາມຮູ້-ຄວາມສາມາດ
32,ໃຫ້ເພດຍິງນັບມື້ເທົ່າທຽມກັບເພດຊາຍພ້ອມກັນຮຽງບ່າຮຽງໄຫລ່ກັນເຂົ້າໃນພາລະກິດສ້າງສາ ແລະ ພັດທະນາປະເທດຊາດອັນແສນຮັກ
33,ທີ່ບັນພະບຸລຸດຂອງລາວເອົາຊີວິດ ແລະ ເລືອດເນື້ອເຫື່ອແຮງເພື່ອຕໍ່ສູ້ຢ່າງທໍລະຫົດອົດທົນເຕັມໄປດ້ວຍຄວາມເສຍສະຫລະ
34,ຈິ່ງສາມາດປົດປ່ອຍປະເທດຊາດຈາກແອກການປົກຄອງຂອງ ພວກຈັກກະພັດຜູ້ຮຸກຮານໄດ້ຢ່າງສະຫງ່າຜ່າເຜີຍ
35,ຜາສາດເຮືອນຫີນ ຢູ່ເມືອງໄຊພູທອງ ແຂວງສະຫວັນນະເຂດ ເປັນເປັນສະຖາປັດຕິຍະກໍາທີ່ໂດດເດັ່ນລໍ້າຄ່າ
36, ເປັນຜາສາດເຮືອນຫີນ ແຫ່ງທີ 2 ຂອງປະເທດລາວຖັດຈາກວັດພູຈໍາປາສັກ
37,ບົ່ງບອກເຖິງຄວາມມີຫົວຄິດປະດິດສ້າງຂອງປະຊາຊົນລາວໃນສະໄໝບູຮານ ແລະ ເປັນສັນຍາລັກໃຫ້ແກ່ຄົນຮຸ່ນຫຼັງ
38,ເຫັນຄວາມເປັນມາຂອງຊາດລາວ ທີ່ເປັນຊາດໜຶ່ງທີ່ມີຄວາມຈະເລີນຮຸ່ງເຮືອງສີວິໄລທາງດ້ານອະລິຍະທໍາ
39,ທີ່ບັນພະ ບຸລຸດລາວໃນແຕ່ລະຍຸກແຕ່ລະສະໄໝ ແລະ ສັກສິດມາເຖິງທຸກວັນນີ້.
40,ໃນແຕ່ລະປີ, ອົງການປົກຄອງເມືອງ ໄຊພູທອງ ໄດ້ຈັດງານສະເຫຼີມສະຫຼອງຜາສາດເຮືອນຫີນດັ່ງກ່າວ
41,ໂດຍມີແຫ່ຜາສາດເຜິ້ງ, ຮູບຈໍາລອງຜາສາດເຮືອນຫີນ, ງູຊ່ວງ, ງົວໂທນ, ເຕົ່າຄໍາ ແລະ  ຂັນໝາກເບັງໃຫຍ່
42, ເພື່ອເປັນການສັກກາລະບູຊາໃຫ້ແກ່ຜາສາດເຮືອນຫີນ ເຊີ່ງເປັນປີທີ່ 4 ທີ່ຈັດໃຫ້ມີກິດຈະກໍານີ້
43,ພາຍໃນງານ ຍັງມີການວາງສະແດງ ແລະ ຊື້ຂາຍສິນຄ້າ,ຊົມການສະແດງສິລະປະວັນນະຄະດີທີ່ສວາຍງາມ
44,ນະຄອນຫຼວງພະບາງ ແຂວງຫຼວງພະບາງໄດ້ຮັບລາງວັນເລື່ອງລາວຈຸດໝາຍປາຍທາງການທ່ອງທ່ຽວ
45,ທີ່ຍືນຍົງທີ່ດີເດັ່ນຂອງໂລກສໍາລັບປີ 2025 ໃນການບໍລິຫານຈັດການ ແລະ ຄຸ້ມຄອງຈຸດໝາຍປາຍທາງການທ່ອງທ່ຽວ”
46,ທີ່ຮັບຮູ້ເຖິງຄວາມສໍາເລັດໃນການພັດທະນາການທ່ອງທ່ຽວທີ່ຍືນຍົງ ຫຼື ການປັບປຸງຄືນໃໝ່ໃຫ້ດີຂຶ້ນ
47,ການຄຸ້ມຄອງການທ່ອງທ່ຽວ ແລະ ການຟື້ນຟູຫຼັງວິກິດການໂດຍການໃຫ້ຄະແນນຈາກທົ່ວໂລກໃນງານມະຫະກຳການທ່ອງທ່ຽວໂລກ
48,ລາງວັນດັ່ງກ່າວແມ່ນຜົນສືບເນື່ອງມາຈາກການໄດ້ຮັບລາງວັນໜຶ່ງໃນຮ້ອຍເລື່ອງລາວຈຸດໝາຍປາຍທາງການທ່ອງທ່ຽວທີ່ຍືນຍົງຂອງໂລກ
49, ຂອງອົງການທ່ອງທ່ຽວສີຂຽວໃນງານປະຊຸມຈຸດໝາຍປາຍທາງການທ່ອງທ່ຽວສີຂຽວສາກົນ ທີ່ ປະເທດຊິເລ ປີ 2024.
50,ແມ່ນໝາກຜົນຂອງຄວາມພະຍາຍາມໃນການປົກປັກຮັກສາມໍລະດົກໂລກ ແລະ ພັດທະນາການທ່ອງທ່ຽວ
51, ຂອງອົງການປົກຄອງແຂວງທີ່ເຫັນຄວາມສໍາຄັນໃນການພັດທະນາແບບຍືນຍົງ ພາຍໃນແຂວງ
52,ທັງແມ່ນຄວາມພາກພູມໃຈຂອງຊາວຫຼວງພະບາງເວົ້າລວມກໍຄືຂອງປະເທດ ເຊິ່ງເປັນການໄດ້ຮັບລາງວັນຄັ້ງທໍາອິດຂອງຊາດ
53,ຫຼວງພະບາງຈະສຸມໃສ່ປັບປຸງຕາມເງື່ອນໄຂ ແລະ ຕົວຊີ້ວັດໃນແຕ່ລະດ້ານເພື່ອສະເໜີຂໍການຢັ້ງຢືນຮັບເອົາຫຼວງພະບາງ
54,ເປັນຈຸດໝາຍປາຍທາງການທ່ອງທ່ຽວທີ່ຍືນຍົງຈາກອົງການທ່ອງທ່ຽວສີຂຽວເຊິ່ງແມ່ນອົງການນໍາໜ້າໃນດ້ານການຢັ້ງຢືນຄວາມຍືນຍົງ
55,ໃຫ້ແກ່ ຈຸດໝາຍປາຍທາງການທ່ອງທ່ຽວ ແລະ ຜູ້ປະກອບການທຸລະກິດໃນທົ່ວໂລກ ທີ່ຖືກຮັບຮອງໂດຍ ສະພາ ການທ່ອງທ່ຽວໂລກ
56,ມາດຖານຂອງຈຸດໝາຍປາຍທາງການທ່ອງທ່ຽວແບບຍືນຍົງມີການບໍລິຫານຈັດການ ແລະ ຄຸ້ມຄອງຈຸດໝາຍປາຍທາງການທ່ອງທ່ຽວ
57, ທຳມະຊາດ ແລະ ທັດສະນີຍະພາບ,ສິ່ງແວດລ້ອມ ແລະ ສະພາບອາກາດ,ວັດທະນະທຳ ແລະ ຮີດຄອງປະເພນີ
58,ຄວາມເປັນຢູ່ທີ່ດີຂອງຄົນໃນສັງຄົມ ແລະ ສຸດທ້າຍຄືການປະກອບທຸລະກິດ ແລະ ການສື່ສານເປັນຕົ້ນ
59,ປະຈຸບັນ ຍັງພົບເຫັນໝອກຄວັນມົນລະພິດ ທີ່ຍັງປົກຄຸມເຂດບໍລິເວນບ້ານຫຼັກແປດ, ຫ້ວຍພາຍ, ປົ່ງຫວ້ານ ແລະ ບ້ານທີ່ຢູ່ໃກ້ຄຽງ
60,ຈາກກໍລະນີເກີດໄຟໄໝ້ກອງຂີ້ເຫຍື້ອ ຢູ່ສະໜາມກຳຈັດຂີ້ເຫຍື້ອ ຢູ່ບ້ານຫຼັກແປດ ນະຄອນຫຼວງພະບາງ ແຂວງຫຼວງພະບາງ
61,ໝອກຄວັນ ນີ້ ໄດ້ລອງລ່ອຍປົກຄຸມທົ່ວເຂດບ້ານ ຊຶ່ງໄດ້ສົ່ງຜົນກະທົບຕໍ່ກັບຊີວິດການເປັນຢູ່ຂອງພໍ່ແມ່ປະຊາຊົນ
62,ທັງຜູ້ເຖົ້າ ແລະ ເດັກນ້ອຍ ໂດຍສະເພາະຕໍ່ລະບົບທາງເດີນຫາຍໃຈ, ດັ່ງນັ້ນ ພໍ່ແມ່ປະຊາຊົນບັນດາບ້ານ
63,ທີ່ຢູ່ໃກ້ຈຸດເກີດເຫດໄຟໄໝ້ກອງຂີ້ເຫຍື້ອໄດ້ຮຽກຮ້ອງເຖິງໜ່ວຍງານ ແລະ ພາກສ່ວນທີ່ກ່ຽວຂ້ອງໃຫ້ຮີບຮ້ອນເລັ່ງດ່ວນຊ່ວຍເຫຼືອ
64,ສະກັດກັ້ນຝຸ່ນຄວັນມົນລະພິດ ເພື່ອການເປັນຢູ່ຂອງພໍ່ແມ່ປະຊາຊົນຫຼຸດພົ້ນຄວາມສ່ຽງທາງດ້ານສຸຂະພາບ
65,ກົມອຸຕຸນິຍົມ ແລະ ອຸທົກກະສາດ ໄດ້ແຈ້ງເຕືອນພະຍາກອນອາກາດຄວາມກົດດັນອາກາດຕໍ່າຂອງອາກາດຮ້ອນ
66,ຍັງສືບຕໍ່ປົກຄຸມຢູ່ທົ່ວທຸກພາກຂອງປະເທດລາວ ດ້ວຍກໍາລັງອ່ອນ ສົມທົບກັບລົມຕາເວັນຕົກ ພັດປົກຄຸມ
67,ເຮັດໃຫ້ອາກາດຮ້ອນພ້ອມມີໝອກແຫ້ງປົກຫຸ້ມໃນຕອນກາງເວັນຢູ່ໃນແຕ່ລະພາກ ແລະ ຈະມີຝົນຕົກໃນລະດັບຄ່ອຍ
68,ນັບແຕ່ເສັ້ນທາງລົດໄຟລາວ-ຈີນໄດ້ເປີດໃຫ້ບໍລິການຈົນມາ ປີ 2025 ນີ້ໄດ້ຂົນສົ່ງຜູ້ໂດຍສານຫຼາຍກວ່າ 48 ລ້ານ 6 ແສນເທື່ອຄົນ
69,ໄດ້ຂົນສົ່ງສິນຄ້າ 54 ລ້ານໂຕນ, ໃນນັ້ນໄດ້ຂົນສົ່ງສິນຄ້າຂ້າມຊາຍແດນຫຼາຍກວ່າ 12 ລ້ານ 5 ແສນໂຕນ.
70,ໃນດ້ານການລົງເລິກການແລກປ່ຽນດ້ານວັດທະນະທຳ, ການຊຸກຍູ້ການເຊື່ອມໂຍງເຊື່ອມຈອດກັນໃນພາກພື້ນ
71,ການຊຸກຍູ້ການພັດທະນາດ້ານເສດຖະກິດລ້ວນແຕ່ໄດ້ຮັບຜົນງານອັນພົ້ນເດັ່ນໄດ້ທຸ້ມເທກຳລັງແຮງຢ່າງເຂັ້ມແຂງ
72,ເຂົ້າໃນການຮ່ວມກັນສ້າງໜຶ່ງແລວໜຶ່ງເສັ້ນທາງດ້ວຍຄຸນນະພາບສູງໃຫ້ສຳເລັດໃນໄວຍິ່ງຂຶ້ນ
73,ຂະບວນລົດໄຟສາຍດ່ວນແມ່ນ້ຳລ້ານຊ້າງ-ແມ່ນ້ຳຂອງ ທີ່ແລ່ນຕາມທາງລົດໄຟລາວ-ຈີນ ໄດ້ບັນທຸກໝາກທຸລຽນ ແລະ ໝາກກ້ວຍ
74,ພ້ອມກັນນັ້ນ, ເຄື່ອງໄຟຟ້າອັດສະລິຍະ ທີ່ຜະລິດຈາກເຂດສາມຫຼ່ຽມແມ່ນ້ຳຢາງຊີກ້ຽງ ແລະ ອາຫານສີຂຽວຂອງຢຸນນານ
75,ກຳລັງຂຶ້ນຂະບວນລົດໄຟ ຖ້ຽວກັບ ເພື່ອຂົນສົ່ງໄປສູ່ນະຄອນຫຼວງວຽງຈັນຂອງລາວ, ນີ້ກໍໄດ້ສະແດງໃຫ້ເຫັນວ່າ
76,ເສັ້ນທາງລົດໄຟລາວ-ຈີນ ໄດ້ເພີ່ມພະລັງແຮງໃຫ້ແກ່ການພັດທະນາດ້ານເສດຖະກິດຂອງພາກພື້ນ
77,ກອງປະຊຸມລັດຖະມົນຕີເສດຖະກິດອາຊຽນ ແບບວົງແຄບ ຄັ້ງທີ 31 ຈັດຂຶ້ນທີ່ ເມືອງຈໍຮໍ, ເດຊາຣູ, ປະເທດມາເລເຊຍ
78,ປືກສາຫາລືການພັດທະນາເສດຖະກິດໃນພາກພື້ນ ແລະ ສາກົນຈັດຂຶ້ນພາຍໃຕ້ການເປັນປະທານກອງປະຊຸມຂອງມາເລເຊຍ
79,ໃນຖານະເປັນປະເທດເຈົ້າພາບ ແລະ ປະທານອາຊຽນ ປີ 2025 ພ້ອມມີ ທ່ານ ມະໄລທອງ ກົມມະສິດ
80,ລັດຖະມົນຕີກະຊວງອຸດສາຫະກຳ ແລະ ການຄ້າ,ທັງເປັນລັດຖະມົນຕີເສດຖະກິດອາຊຽນ ຂອງ ສປປ ລາວ
81,ບັນດາລັດຖະມົນຕີຈາກບັນດາປະເທດສະມາຊິກອາຊຽນເຂົ້າຮ່ວມໃນກອງປະຊຸມເພື່ອວາງແຜນຮ່ວມມື້ເສດຖະກິດສາກົນ
82,ຕາມການລາຍງານຂອງ ກົມເຈລະຈາການຄ້າ ແລະ ຮ່ວມມືເສດຖະກິດສາກົນ, ກະຊວງອຸດສາຫະກໍາ ແລະ ການຄ້າ
83,ບັນດາລັດຖະມົນຕີເສດຖະກິດ ອາຊຽນ ໄດ້ຮັບຮອງເອົາ 2 ແຜນວຽກບຸລິມະສິດດ້ານເສດຖະ ກິດທີ່ຍັງຄ້າງສຳລັບປີ 2024
84,ຍັງໄດ້ມີການຮັບຮອງເອົາ 9 ແຜນວຽກບູລິມະສິດດ້ານເສດຖະກິດອາຊຽນຊື່ງຢູ່ພາຍໃຕ້ການຊີ້ນໍາ
85,ຂອງລັດຖະມົນຕີເສດຖະກິດອາຊຽນໃນໄລະຍະການເປັນປະທານອາຊຽນຂອງມາ ເລເຊຍ ປີ 2025.
86,ກອງປະຊຸມ ຍັງໄດ້ປຶກສາຫາລື ກ່ຽວກັບການເຈລະຈາເພື່ອຍົກລະດັບສັນຍາການຄ້າດ້ານສິນຄ້າອາຊຽນ
87,ເຊີ່ງປະຈຸບັນສາມາດສຳເລັດການເຈລະຈາໄດ້ 89%, ຄາດວ່າຈະໃຫ້ສາມາດສະຫຼຸບການເຈລະຈາເນື້ອໃນສັນຍາໄດ້ ໃນທ້າຍປີ 2025 ນີ້
88,ກອງປະຊຸມ ໄດ້ປຶກສາຫາລື ກ່ຽວກັບສະພາບການພັດທະນາເສດຖະກິດໃນພາກພື້ນ ແລະ ສາກົນ
89,ລວມທັງສະພາບຄວາມເຄັ່ງຮ້ອນທາງດ້ານພູມມິສາດການເມືອງໂດຍສະເພາະການຮັບມືກັບນະໂຍບາຍການຄ້າ ແລະ ພາສີຂອງອາເມລິກາ
90,ພາຍໃຕ້ການນໍາພາຂອງລັດຖະບານຂອງປະທານາທິບໍດີ ໂດນັລ ທຣັມ ທີ່ໄດ້ສົ່ງຜົນກະທົບຕໍ່ພາກພຶ້ນອາຊຽນ
91,ກໍຄືໃນໂລກໂດຍລວມ  ແລະ ການກະກຽມຮັບເອົາ ຕິມໍແລ້ດເຕ້ ເຂົ້າເປັນສະມາຊິກຂອງອາຊຽນ
92,ບັນດາລັດຖະມົນຕີເສດຖະກິດອາຊຽນ ຍັງໄດ້ປຶກສາຫາລື ກ່ຽວ ກັບການຮ່ວມມືດ້ານເສດຖະກິດກັບພາຍນອກ
93,ໂດຍສະເພາະ ການຮ່ວມມືການຄ້າໃນຂົງເຂດໃໝ່ກັບກຸ່ມອ່າວອາຣັບ ເຊີ່ງມີປະເທດສະມາຊິກທັງໝົດ 6 ປະເທດ
94,ເພື່ອແນໃສ່ການກະກຽມໃຫ້ແກ່ກອງປະຊຸມສຸດຍອດອາຊຽນ, ສປ ຈີນ ແລະ ອ່າວອາຣັບ ທີ່ຈະຈັດຂື້ນໃນກອງປະຊຸມສຸດຍອດອາຊຽນ
95, ຍັງໄດ້ມີການພົບປະສອງຝ່າຍກັບ ທ່ານ ຮອງນາຍົກລັດຖະມົນຕີ, ລັດຖະມົນຕີກະຊວງການຄ້າສິງກະໂປ
96,ທ່ານ ລັດຖະມົນຕີກະຊວງການລົງທຶນ, ການຄ້າ ແລະ ອຸດສາຫະກຳ ມາເລເຊຍ ເພື່ອປຶກສາຫາລືກ່ຽວກັບການຮ່ວມມືສອງຝ່າຍ
