sentence_id,transcription
97, ໂດຍສະເພາະໂຄງການສາຍສົ່ງໄຟຟ້າອາຊຽນ, ພະລັງງານສະອາດ, ຕະຫຼາດກາກບອນ,ການສົ່ງເສີມຍົກລະດັບຂີດຄວາມສາມາດ
98,ໃຫ້ພະນັກງານ, ກໍຄືການສະໜັບສະໜູນ ບັນດາແຜນວຽກບູລິມະສິດຂອງ ມາເລເຊຍ ໃນຖານະເປັນປະທານອາຊຽນ
99,ງານມະຫະກຳໜັງສື ມະຫາວິທະຍາໄລແຫ່ງຊາດ ຄັ້ງທີ V ພາຍໃຕ້ຫົວຂໍ້ການອ່ານເພື່ອການພັດທະນາ
100,ພາຍໃນງານຄັ້ງນີ້ ຈະມີຜູ້ເຂົ້າຮ່ວມເພື່ອວາງສະແດງ ແລະ ຂາຍ ບັນດາຜະລິດຕະພັນປຶ້ມ ຈາກຫຼາຍພາກສ່ວນ ເປັນຕົ້ນ
101,ບັນດາສຳນັກພິມ,ໂຮງພິມ, ຮ້ານຂາຍປຶ້ມ, ຫໍສະໝຸດ, ສະຖາບັນການສຶກສາ, ອົງການຈັດຕັ້ງສັງຄົມ, ອົງການຈັດຕັ້ງສາກົນ
102,ນອກຈາກນັ້ນ ຍັງມີກິດຈະກຳຕ່າງໆ ເຊັ່ນ: ການເສວະນາ ແລະ ບັນຍາຍໃນຫົວຂໍ້ ຕ່າງໆກ່ຽວກັບການພັດທະນາຕົນເອງ
103, ການອ່ານ ແລະ ການຂຽນ ການແນະນຳປຶ້ມໃໝ່ ຈາກນັກຂຽນຊື່ດັງຫຼາຍທ່ານ ການອ່ານກະວີ ການລີວິວປຶ້ມ
104,ອໍານາດການປົກຄອງແຂວງຈໍາປາສັກ ມີແຜນຍົກລະດັບແຫຼ່ງທ່ອງທ່ຽວພູເຂົາໄຟລ້ານປີຈາກລະດັບຂອງເມືອງປາກຊ່ອງ​
105,ປາກພູເຂົາໄຟລ້ານປີ ມີເນື້ອທີ່​ 5 ເຮັກຕາ,​ ມີຄວາມອຸດົມສົມບູນ,​ ມີທໍາມະຊາດທີ່ສວຍສົດງົດງາມ​ ມີຄວາມສູງ 1.300 ແມັດ
106, ກວມ​ 5 ບ້ານ​ ຄື: ບ້ານໜອງຢາລຸ່ມ,​ ໜອງຢາເທິງ,​ ໜອງສໍາພັນ,​ ຫ້ວຍຫວາຍ ແລະ​ ບ້ານພູດ້າມຂວານ.
107,ໄດ້ໃຫ້ທິດຊີ້ນໍາ​ໂດຍມອບໃຫ້ພະແນກຖະແຫຼງຂ່າວ, ວັດທະນະທຳ ແລະ ທ່ອງທ່ຽວແຂວງຈໍາປາສັກ ສົມທົບກັບສະມາຄົມທ່ອງທ່ຽວແຂວງ
108, ສະມາຄົມນັກທຸລະກິດໜຸ່ມ ແລະ ຜູ້ພັດທະນາປາກພູເຂົາໄຟລ້ານປີ ທີ່ບ້ານໜອງຢາເທິງ
109,ເພື່ອຍົກລະດັບເປັນການທ່ອງທ່ຽວ​ ຈາກລະດັບເມືອງ ເປັນລະດັບແຂວງ ແລະ ລະດັບຊາດ.
110,ພ້ອມກັນນັ້ນ, ໃຫ້ສົມທົບກັບພາກສ່ວນກ່ຽວຂ້ອງຮ່ວມກັນວາງແຜນ ເພື່ອຈະດຶງດູດພາກສ່ວນທີ່ສົນໃຈຈະມາລົງທຶນ
111,ໃນການພັດທະນາຈຸດດັ່ງກ່າວ​ ຕົ້ນຕໍແມ່ນພັດທະນາພື້ນຖານໂຄງລ່າງ​ ໂດຍສະເພາະແມ່ນເສັ້ນທາງ​ ໄລຍະ​ 17 ກິໂລແມັດ​
112,ຫ່າງຈາກຕົວເມືອງປາກຊ່ອງ, ສ້າງສະຖານທີ່ບໍລິການ, ຮ້ານອາຫານ,​ ຮ້ານກາເຟ​ ແລະ​ ສະຖານທີ່ພັກເຊົາ
113,ໃຫ້​ສາມາດພັດທະນາເປັນວົງຈອນການທ່ອງທ່ຽວໃນເຂດພູພຽງບໍລະເວນ ​ເພື່ອດຶງຕະຫຼາດລາຍໃຫຍ່
114,ເພື່ອປະກອບສ່ວນໃນການພັດ ທະນາ ໂດຍໃຫ້ເລີ່ມຈາກສະມາຊິກໃນກຸ່ມນັກທຸລະກິດໜຸ່ມທີ່ມີຄວາມສົນໃຈ.
115,ສໍານັກງານຄະນະກໍາມະການຄຸ້ມຄອງຫຼັກຊັບລາວໄດ້ນໍາພາການກະກຽມການອອກຮຸ້ນກູ້ທີ່ມີລັກສະນະສະເພາະຄັ້ງທໍາອິດຢູ່ໃນ ສປປ ລາວ
116,ສົ່ງເສີມໃຫ້ມີລະບົບການເງິນຍືນຍົງ ແລະ ສົ່ງເສີມການລົງທຶນດ້ານສິ່ງແວດລ້ອມ.
117,ສໍານັກງານຄະນະກໍາມະການຄຸ້ມຄອງຫຼັກຊັບລາວຮ່ວມກັບ ສະຖາບັນການເຕີບໂຕສີຂຽວສາກົນ ປະຈໍາ ສປປ ລາວ
118,ຕະຫຼາດຫຼັກຊັບລຸກຊໍາບວກໄດ້ຈັດຝຶກອົບຮົມເສີມສ້າງຄວາມອາດສາມາດຄັ້ງທໍາອິດ ເພຶ່ອສະໜອງຄວາມຮູ້ທາງດ້ານວິຊາການ
119,ເສີມຂະຫຍາຍຄວາມພ້ອມດ້ານການອອກຮຸ້ນກູ້ທີ່ມີລັກສະນະສະເພາະຄັ້ງທໍາອິດ ໃຫ້ແກ່ລັດຖະບານ ແລະ ສະຖາບັນການເງິນ
120,ການຝຶກອົບຮົມຄັ້ງນີ້ ເປັນປະທານຮ່ວມຂອງຫົວໜ້າສໍານັກງານຄະນະກໍາມະການຫຼັກຊັບລາວ
121,ອຸປະທູດແຫ່ງລຸກຊຳບວກປະຈຳ ສປປ ລາວ ແລະ ຫົວໜ້າສະຖາບັນການເຕີບໂຕສີຂຽວສາກົນເຂົ້າຮ່ວມ.
122,ການຝຶກອົບຮົມພາຍໃຕ້ຫົວຂໍ້ການຝຶກອົບຮົມເສີມສ້າງຄວາມອາດສາມາດເພື່ອກະກຽມຄວາມພ້ອມແກ່ພາກລັດ ແລະ ເອກະຊົນ
123,ການອອກຮຸ້ນກູ້ທີ່ມີລັກສະນະສະເພາະແມ່ນແນ່ໃສ່ການສົ່ງເສີມຄວາມຮູ້-ຄວາມເຂົ້າໃຈ, ວີທີການ-ເຄຶ່ອງມືໃນການພັດທະນາ
124,ການດໍາເນີນວຽກງານດັ່ງກ່າວ ໃນການອອກຮຸ້ນກູ້ທີ່ມີລັກສະນະສະເພາະ ເພື່ອສົ່ງເສີມໃຫ້ມີລະບົບການເງິນຍືນຍົງ
125,ເຊື່ອມສານເຂົ້າໃນການອະນຸລັກສິ່ງແວດລ້ອມ ແລະ ການພັດທະນາແບບຍືນຍົງ
126,ລັດຖະບານ ສປປ ລາວ ໄດ້ສ້າງລະບົບການເງິນເພຶ່ອຄວາມຍືນຍົງເພຶ່ອສະໜັບສະໜູນການອອກຮຸ້ນກູ້ທີມີລັກສະນະສະເພາະ
127,ຊິ່ງຈະກວມເອົາການປັບປຸງດ້ານລະບຽບ,ກົດໝາຍ, ການສະໜັບສະໜູນ ຜູ້ອອກຮຸ້ນກູ້, ການເສີມສ້າງຄວາມອາດສາມາດ
128,ການຝຶກອົບຮົມດັ່ງກ່າວ ຍັງເປັນສ່ວນໜຶ່ງໃນການກະກຽມກິດຈະກໍາຕ່າງໆເພຶ່ອສົ່ງເສີ່ມ ແລະ ພັດທະນາກອບດ້ານອອກຮຸ້ນ
129,ໃຫ້ແກ່ຜູ້ອອກຮຸ້ນຕ່າງໆເພຶ່ອຮັບປະກັນວ່າການອອກຮຸ້ນກູ້ນັ້ນມີຄວາມສອດຄ່ອງກັບມາດຕະຖານທີ່ດີ
130,ເພື່ອຊຸກຍູ້ໃຫ້ມີການຫັນປ່ຽນໄປສູ່ການພັດທະນາເສດຖະກິດແບບຍືນຍົງ ເຊິ່ງເຫັນວ່າ ຕ້ອງໄດ້ອາໄສຄວາມພ້ອມ
131,ການສ້າງແຮງຈູງໃຈຕໍ່ຫົວໜ່ວຍທຸລະກິດໃນໄລຍະປັດຈຸບັນ ຍັງບໍ່ທັນສາມາດປະຕິບັດວຽກງານສີຂຽວໄດ້ຢ່າງເຕັມທີ
132,ການກະກຽມສ້າງເງື່ອນໄຂໃຫ້ຕະຫຼາດທຶນ ເພື່ອຊຸກຍູ້ການອອກ ແລະ ຊື້ຂາຍພັນທະບັດ ຫຼື ຮຸ້ນກູ້ສີຂຽວ
133,ເປັນກາລະໂອກາດອັນສໍາຄັນ ໃນການຊ່ວຍສະໜັບສະໜູນພາກທຸລະກິດ ໃຫ້ສາມາດລະດົມທຶນໄລຍະຍາວ
134,ໃນການລະດົມກອງທຶນເພື່ອດໍາເນີນໂຄງການທີ່ກ່ຽວຂ້ອງກັບສິ່ງແວດລ້ອມໃຫ້ສອດຄ່ອງກັບມາດຕະຖານສາກົນທີ່ກຳນົດໄວ້
135,ການອອກຮຸ້ນກູ້ທີມີລັກສະນະສະເພາະ ໂດຍສະເພາະ ຮຸ້ນກູ້ສີຂຽວຢູ່ ສປປ ລາວນັ້ນ ຈະເປັນເຄຶ່ອງມືທາງການເງິນ
136,ແນໃສ່ການສະໜັບສະໜູນການລົງທຶນໃນຂົງເຂດພະລັງງານທົດແທນ, ພະລັງງານປະສິດທິພາບ
137,ການປ້ອງກັນມົນລະພິດ, ການຄົມມະນາຄົມສະອາດ, ການຈັດການສິ່ງເສດເຫຼືອ ແລະ ນໍ້າເປຶ້ອນແບບຍືນຍົງ
138, ອາຄານສີຂຽວ, ແລະ ການປັບຕົວຕໍ່ການປ່ຽນແປງດິນຟ້າອາກາດ
139,ບັນຫາຄວາມ ຫຍຸ້ງຍາກ ທາງດ້ານເສດຖະກິດ-ການເງິນຍັງເປັນບັນຫາທີ່ຍັງແກ້ໄຂບໍ່ຕົກ
140,ເຖິງແມ່ນວ່າລັດຖະບານຈະສຸມໃສ່ແກ້ໄຂກໍຕາມໂດຍສະເພາະບັນຫາເງິນເຟີ້ ຫຼື ຄ່າເງິນກີບອ່ອນຄ່າທີ່ສົງຜົນກະທົບຕໍ່ຄ່າຄອງຊີບ
141,ບັນຫາດັ່ງກ່າວ ລັດຖະບານ ຈະສຸມໃສ່ແກ້ໄຂ ໃຫ້ເປັນຮູບປະທຳ ເທື່ອລະກ້າວໃນປີ 2025 ນີ້
142,ທ່ານ ສອນໄຊ ສິດພະໄຊ ລັດຖະມົນຕີປະຈໍາສໍານັກງານນາຍົກ ລັດຖະມົນຕີ, ທັງເປັນໂຄສົກລັດຖະບານ
143,ໄດ້ຖະແຫຼງໃນໂອກາດສຳເລັດກອງປະຊຸມລັດຖະບານເປີດກວ້າງໃຫ້ຮູ້ເມື່ອບໍ່ດົນມານີ້ວ່າ
144,ລັດຖະບານ ຈະສຸມໃສ່ແກ້ໄຂບັນຫາຄວາມຫຍຸ້ງຍາກ ທາງດ້ານເສດຖະກິດ-ການເງິນດ້ວຍການບັງຄັບໃຊ້ບັນດາມາດຕະການ
145,ໃຫ້ປະກົດຜົນເປັນຈິງ ແລະ ເປັນຮູບປະທຳຫຼາຍຂຶ້ນກວ່າເກົ່າໂດຍມອບວຽກການຈັດຕັ້ງ ແລະ ບຸກຄົນຢ່າງລະອຽດຈະແຈ້ງ
146,ກຳນົດຄາດໝາຍເວລາສໍາເລັດໃຫ້ຊັດເຈນພ້ອມທັງຈະສືບຕໍ່ຊຸກຍູ້ສົ່ງເສີມການຜະລິດ ເພື່ອທົດແທນການນໍາເຂົ້າ ແລະ ເປັນສິນຄ້າສົ່ງອອກ
147, ຊຸກຍູ້ການຂຸດຄົ້ນ ແລະ ປຸງແຕ່ງແຮ່ທາດ ຕາມທິດຍືນຍົງ ທັງສາມາດສ້າງມູນຄ່າເພີ່ມຈາກແຮ່ຕ່າງໆ ແລະ ປັດໄຈການຜະລິດ
148,ການຜະລິດປຸ໋ຍຊີວະພາບ, ຫົວອາຫານລ້ຽງສັດ, ວັດສະດຸກໍ່ສ້າງ, ເຄື່ອງອຸປະໂພກ-ບໍລິໂພກ
149,ຄຽງຄູ່ກັບການປັບປຸງໂຄງລ່າງພື້ນຖານ ແລະ ລະບົບການບໍລິການຂົນສົ່ງ ໃຫ້ມີຄວາມສະດວກຂຶ້ນ
150, ເພື່ອເປັນພື້ນຖານສຳຄັນແກ່ການສົ່ງເສີມການລົງທຶນ, ການຄ້າ ແລະ ການທ່ອງທ່ຽວ
151,ສຸມໃສ່ຮັກສາສະຖຽນລະພາບທາງດ້ານເງິນຕາ ໃຫ້ມີຄວາມໝັ້ນທ່ຽງ ດ້ວຍການດຳເນີນນະໂຍບາຍເງິນຕາແບບຮັດກຸມ
152, ນະໂຍບາຍອັດຕາແລກປ່ຽນ ຢ່າງມີປະສິດທິພາບ, ຄຸ້ມຄອງເງິນຕາຕ່າງປະເທດ ຈາກການລົງທຶນ
153,ການສົ່ງອອກ-ນຳເຂົ້າສິນຄ້າ ຜ່ານລະບົບທະນາຄານ ໃຫ້ຫຼາຍຂຶ້ນ ຕິດພັນກັບສົ່ງເສີມການນໍາໃຊ້ເງິນກີບ ກັບປະເທດໃກ້ຄຽງ
154,ເພື່ອຫຼຸດຜ່ອນຄວາມຕ້ອງການເງິນຕາຕ່າງປະເທດ,ສືບຕໍ່ປ່ອຍສິນເຊື່ອເພື່ອກະຕຸ້ນເສດຖະກິດກະຈາຍແຫຼ່ງທຶນສູ່ທ້ອງຖິ່ນ
155,ສຸມໃສ່ການຂຸດຄົ້ນແຫຼ່ງລາຍຮັບງົບປະມານແຫ່ງລັດ ໃຫ້ໄດ້ຕາມແຜນ ຫຼື ເກີນແຜນ ເປັນປີທີ 5 ຕິດຕໍ່ກັນ
156,ສູ້ຊົນໃຫ້ເປັນປີທຳອິດໃຫ້ມີລາຍຮັບເກີນດຸນ ຕາມຄາດໝາຍ ເສດຖະກິດເອກະລາດ ເປັນເຈົ້າຕົນເອງວາງອອກ
157,ສຸມທຸກກຳລັງແຮງສັງລວມ ເຂົ້າໃນການເກັບລາຍຮັບ ຕາມກົດໝາຍ ແລະ ລະບຽບການທີ່ໄດ້ກໍານົດໄວ້
158,ເລັ່ງຂະຫຍາຍຖານລາຍຮັບໃໝ່ ຕິດພັນກັບການຫັນເປັນທັນສະໄໝ, ຈໍາກັດການຍົກເວັ້ນພັນທະຕ່າງໆ
159,ດ້ານລາຍຈ່າຍງົບປະມານ ແມ່ນໃຫ້ສຸມໃສ່ວຽກງານບຸລິມະສິດ ຂອງລັດຖະບານ ບົນຈິດໃຈປະຢັດມັດທະຍັດ
160,ນໍາໃຊ້ແຫຼ່ງລາຍຮັບພາຍໃນ ເພື່ອແກ້ໄຂໜີ້ສິນພາຍໃນ ແລະ ຕ່າງປະເທດເພື່ອຫຼຸດຜ່ອນການກູ້ຢືມ
161,ການສະໜອງທຶນໃສ່ວຽກງານໂພຊະນາການ ແມ່ນວຽກງານຮີບຮ້ອນໃຫ້ມີການຈັດຕັ້ງປະຕິບັດແບບເລັ່ງລັດ
162,ແຜນປະຕິບັດງານແຫ່ງຊາດດ້ານໂພຊະນາການແນໃສ່ໃຫ້ບັນລຸຄາດໝາຍດ້ານໂພຊະນາການ ໂດຍສະເພາະ
163,ອັດຕາເດັກຂາດອາຫານປະເພດລວງສູງບໍ່ໄດ້ມາດຕະຖານ ຫຼຸດລົງເພື່ອຈະເປັນຊັບພະຍາກອນຂອງປະເທດຊາດ
164,ສະໜອງທຶນໃຫ້ວຽກງານໂພຊະນາການ ໂດຍອີງໃສ່ຂໍ້ມູນເພື່ອຈັດຕັ້ງປະຕິບັດຢ່າງເລັ່ງລັດ
165,ຄໍາໝາຍໝັ້ນໃນປີຜ່ານມາກ່ຽວກັບໂພຊະນາການ ທີ່ໄດ້ຖະແຫຼງໃນກອງປະຊຸມສຸດຍອດວ່າດ້ວຍຊັບສິນດ້ານມະນຸດ
166,ປະກອບດ້ວຍການກໍານົດ ເອົາບູລີມະສິດກິດຈະກໍາຕ່າງໆທີ່ມີຜົນຕໍ່ການແກ້ໄຂດ້ານໂພຊະນາການສູງທີ່ສຸດຄືແນວໃດ
167,ປັບປຸງການປະສານງານລະຫວ່າງຂະແໜງການຕ່າງໆ ແລະ ລວມໄປເຖິງຄວາມສໍາຄັນຂອງການນໍາໃຊ້ຂໍ້ມູນ
168,ຂໍຮຽກຮ້ອງມາຍັງບັນດາຂະແໜງການ, ອົງການຈັດຕັ້ງທຸກພາກສ່ວນ ແລະ ຄະນະກຳມະການໂພຊະນາການທຸກຂັ້ນ
169,ສືບຕໍ່ເຊີດຊູຄວາມຮັບຜິດຊອບສູງ ແລະ ເອົາໃຈໃສ່ຊີ້ນຳ-ນຳພາ ໃນການຈັດຕັ້ງປະຕິບັດຢ່າງໃກ້ຊິດ
170,ບາງວຽກງານທີ່ສຳຄັນ ເປັນຕົ້ນ: ສືບຕໍ່ເອົາວຽກໂພຊະນາການ ເຊື່ອມເຂົ້າໃນແຜນການ
171, ພັດທະນາເສດຖະກິດສັງຄົມແຫ່ງຊາດ 5 ປີ ຄັ້ງທີ 10 ແລະ ລະບົບລາຍງານຕິດຕາມປະເມີນຜົນຂອງຊາດ
172,ໃຫ້ແຕ່ລະຂະແໜງການ ນຳເອົາບັນດາກຸ່ມກິດຈະກຳ ທີ່ນອນຢູ່ໃນແຜນປະຕິບັດງານແຫ່ງຊາດ
173,ດ້ານໂພຊະນາການ ເຊື່ອມເຂົ້າໃນແຜນພັດທະນາ 5 ປີ ແລະ ຈັດເຂົ້າເປັນແຜນບູລິມະສິດ
174,ເຊື່ອມເຂົ້າໃນກອບລະບົບລາຍງານ ຂອງແຕ່ລະຂະແໜງການ ແຕ່ສູນກາງ ຮອດທ້ອງຖິ່ນ
175,ສູ້ຊົນເພີ້ມທະວີການສະໜອງດ້ານງົບປະມານ ເພຶ່ອໃຫ້ໄດ້ຈັດຕັ້ງປະຕິບັດ ແລະ ການສັງລວມລາຍງານດ້ານການເງິນທີ່ສະໜອງ
176,ພີ່ມທະວີ ການຮ່ວມມື ປະສານງານ ກັບ ຄູ່ຮ່ວມພັດທະນາ, ຜູ້ໃຫ້ທຶນ, ອົງການຈັດຕັ້ງສາກົນອົງການຈັດຕັ້ງສັງຄົມ
177,ການມີສ່ວນຮ່ວມຂອງພາກເອກະຊົນ ເພື່ອລະດົມທຶນ ໃນການສະໜັບສະໜູນວຽກງານໂພຊະນາການ
178,ສືບຕໍ່ ປັບປຸງຄະນະກຳມະການໂພຊະນາການຂັ້ນແຂວງ ແລະ ເມືອງ ຕາມ ຂໍ້ຕົກລົງຂອງ ນາຍົກລັດຖະມົນຕີ
179,ປັບປຸງຈຸດປະສານງານແຕ່ລະຂະແໜງການ ເພື່ອໃຫ້ມີຄວາມຄ່ອງໂຕ ແລະ ຟົດຟຶ້ນຢ່າງຕໍ່ເນື່ອງ
180,ສ້າງຄວາມເຂັ້ມແຂງໃຫ້ ລະບົບການຜະລິດ ແລະ ຄວາມໝັ້ນຄົງດ້ານສະບຽງອາຫານເພື່ອສຸຂະພາບ ແບບຍືນຍົງ
181,ສ້າງຄວາມເຂັ້ມແຂງລະບົບບໍລິການດ້ານໂພຊະນາການເຝົ້າລະວັງທາງດ້ານໂພຊະນາການຢ່າງເປັນປົກກະຕິ
182,ຄຽງຄູ່ກັບການຄົ້ນຄວ້າ ແລະ ນຳໃຊ້ບັນດາຂໍ້ມູນຫຼັກຖານໃໝ່ເຂົ້າໃນການວາງແຜນແກ້ໄຂບັນຫາໃຫ້ຖຶກຈຸດ
183, ແນ່ໃສ່ເຮັດໃຫ້ການລົງທຶນໄດ້ຮັບປະສິດທິຜົນສູງສຸດທຸກພາກສ່ວນໃຫ້ການສະໜັບສະໜຸນ ການສະໜອງ
184,ຈັດສັນ ທຶນໃສ່ ໃນການຮີບຮ້ອນ ເລັ່ງລັດ ຈັດຕັ້ງປະຕິບັດ ວຽກງານໂພຊະນາການ ພ້ອມມີການຕິດຕາມ ຊຸກຍູ້ ປະເມີນຜົນ
185,ໂພຊະນາການທີ່ພຽງພໍແມ່ນມີຄວາມຈຳເປັນຕໍ່ການຈະເລີນເຕີບໂຕ, ຄວາມສະຫຼາດລະດັບລາຍຮັບໃນອະນາຄົດຂອງເດັກ
186,ປະເທດລາວຍັງປະເຊີນກັບອັດຕາການຂາດສານອາຫານໃນໄວເດັກທີ່ສູງຫຼາຍ ຊໍ້າພັດກັບມາມີອັດຕາທີ່ສູງກວ່າແຕ່ກ່ອນ
187,ເພື່ອໃຫ້ສາມາດກັບມາສືບຕໍ່ຫຼຸດຜ່ອນອັດຕາການຂາດໂພຊະນາການໄດ້ມັນຈໍາເປັນຕ້ອງມີບຸກຄະລາກອນດ້ານສາທາລະນະສຸກ
188,ມີການສະໜອງເງິນສົດໂດຍມີເງື່ອນໄຂເພື່ອໃຫ້ເດັກໄດ້ຮັບສານອາຫານ ແລະ ໂພຊະນາການທີ່ພຽງພໍ
189, ທະນາຄານໂລກ ແລະ ບັນດາຄູ່ຮ່ວມງານ ຈະສືບຕໍ່ສະໜັບສະໜູນລັດຖະບານລາວໃນການລົງທຶນໃສ່ວຽກງານທີ່ຕິດພັນກັບໂພຊະນາການ
190,ຮຽກຮ້ອງໃຫ້ລັດຖະບານຕ້ອງໄດ້ເພີ່ມການຈັດສັນງົບປະມານພາກລັດເຂົ້າໃນວຽກງານຢ່າງຮີບດ່ວນ
191,ກອງປະຊຸມຄັ້ງນີ້ ຈັດຂຶ້ນໂດຍຄະນະກໍາມະການໂພຊະນາການແຫ່ງຊາດໂດຍການເຂົ້າຮ່ວມຂອງຄູ່ຮ່ວມພັດທະນາສາກົນ
192,ສະຫະພາບເອີຣົບ, ທະນາຄານໂລກ, ທະນາຄານພັດທະນາອາຊີ, , ເຄື່ອຂ່າຍອົງການຈັດຕັ້ງທາງສັງຄົມເພື່ອສົ່ງເສີມໂພຊະນາການ
193,ອົງການສະຫະປະຊາຊາດສໍາລັບເດັກ, ອົງການແຄຣ, ອົງການ ອາດຣາ, ອົງການອາຫານໂລກ, ກະຊວງທີ່ກ່ຽວຂ້ອງ, ອົງການຈັດຕັ້ງມະຫາຊົນ
194, ສະຖາບັນການສຶກສາ ແລະ ຕົວແທນເຄືອຂ່າຍພາກເອກະຊົນ ເຊິ່ງໃນກອງປະຊຸມໄດ້ເປີດໂອກາດ
